 epsilon =   9.99999993922529029E-009
 iteration:          500
 relative error =   5.49501557818211526E-004
 iteration:         1000
 relative error =   1.70323743169829037E-004
 iteration:         1500
 relative error =   6.12114540364069084E-005
 iteration:         2000
 relative error =   2.25384304266846509E-005
 iteration:         2500
 relative error =   8.35964535153492275E-006
 iteration:         3000
 relative error =   3.10882879600908660E-006
 iteration:         3500
 relative error =   1.15725940385589347E-006
 iteration:         4000
 relative error =   4.30946077248999775E-007
 iteration:         4500
 relative error =   1.60499662089030660E-007
 iteration:         5000
 relative error =   5.97788124169836941E-008
 iteration:         5500
 relative error =   2.22653038927788791E-008
 iteration:         5905
  16  18 0.10153151
  17  18 0.10537700
  18  18 0.10880661
  19  18 0.11180681
  20  18 0.11436576
  21  18 0.11647336
  22  18 0.11812130
  23  18 0.11930306
  24  18 0.12001399
  25  18 0.12025128
  26  18 0.12001399
  27  18 0.11930306
  28  18 0.11812130
  29  18 0.11647336
  30  18 0.11436576
  31  18 0.11180681
  32  18 0.10880661
  33  18 0.10537700
  34  18 0.10153151
  35  18 0.09728533
  36  18 0.09265520
  37  18 0.08765941
  38  18 0.08231766
  39  18 0.07665105
  40  18 0.07068193
  41  18 0.06443386
  42  18 0.05793149
  43  18 0.05120050
  44  18 0.04426745
  45  18 0.03715969
  46  18 0.02990528
  47  18 0.02253284
  48  18 0.01507148
  49  18 0.00755064
   1  19 0.00815056
   2  19 0.01626895
   3  19 0.02432314
   4  19 0.03228134
   5  19 0.04011213
   6  19 0.04778462
   7  19 0.05526853
   8  19 0.06253432
   9  19 0.06955331
  10  19 0.07629781
  11  19 0.08274119
  12  19 0.08885804
  13  19 0.09462420
  14  19 0.10001692
  15  19 0.10501492
  16  19 0.10959848
  17  19 0.11374950
  18  19 0.11745160
  19  19 0.12069018
  20  19 0.12345245
  21  19 0.12572750
  22  19 0.12750637
  23  19 0.12878203
  24  19 0.12954944
  25  19 0.12980558
  26  19 0.12954944
  27  19 0.12878203
  28  19 0.12750637
  29  19 0.12572750
  30  19 0.12345245
  31  19 0.12069018
  32  19 0.11745160
  33  19 0.11374950
  34  19 0.10959848
  35  19 0.10501492
  36  19 0.10001692
  37  19 0.09462420
  38  19 0.08885804
  39  19 0.08274119
  40  19 0.07629781
  41  19 0.06955331
  42  19 0.06253432
  43  19 0.05526853
  44  19 0.04778462
  45  19 0.04011213
  46  19 0.03228134
  47  19 0.02432314
  48  19 0.01626895
  49  19 0.00815056
   1  20 0.00878265
   2  20 0.01753063
   3  20 0.02620944
   4  20 0.03478480
   5  20 0.04322288
   6  20 0.05149039
   7  20 0.05955468
   8  20 0.06738394
   9  20 0.07494727
  10  20 0.08221481
  11  20 0.08915789
  12  20 0.09574911
  13  20 0.10196244
  14  20 0.10777338
  15  20 0.11315898
  16  20 0.11809800
  17  20 0.12257094
  18  20 0.12656014
  19  20 0.13004988
  20  20 0.13302636
  21  20 0.13547785
  22  20 0.13739467
  23  20 0.13876926
  24  20 0.13959619
  25  20 0.13987219
  26  20 0.13959619
  27  20 0.13876926
  28  20 0.13739467
  29  20 0.13547785
  30  20 0.13302636
  31  20 0.13004988
  32  20 0.12656014
  33  20 0.12257094
  34  20 0.11809800
  35  20 0.11315898
  36  20 0.10777338
  37  20 0.10196244
  38  20 0.09574911
  39  20 0.08915789
  40  20 0.08221481
  41  20 0.07494727
  42  20 0.06738394
  43  20 0.05955468
  44  20 0.05149039
  45  20 0.04322288
  46  20 0.03478480
  47  20 0.02620944
